location_id ,city,destination,index,image_url
1,Kathmandu,Kathmandu Durbar Square,10,https://www.inditales.com/wp-content/uploads/2012/03/basantapur-durbar-square-kathmandu.jpg
2,Kathmandu,Shree Pashupatinath Temple,11,"https://bsmedia.business-standard.com/_media/bs/img/article/2020-06/16/full/1592304513-3729.jpg?im=Resize,width=640"
3,Kathmandu,Swayambhunath Stupa,12,https://worldtravelfamily.com/wp-content/uploads/2020/01/Swayambhunath-Kathmandu-Guide-720x720.jpg.webp
4,Kathmandu,Garden of dream,13,https://holidaystonepal.com/media/files/Blogs/Gardens-of-Dreams-Kathmandu.jpeg
5,lalitpur,Patan Durbar Square,14,https://thrillingtravel.in/wp-content/uploads/2017/06/Patan-Durbar-Square.jpg
6,lalitpur,chobar,15,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2015/08/suspension-bridge-Chobar.jpg
7,lalitpur,Zoo,16,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2016/03/Tiger2.jpg
8,Bhaktapu,Bhaktapur  Durbar Square,17,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/02/ee/c7.jpg
9,Bhaktapu,Changu Narayan Temple,18,https://www.templepurohit.com/wp-content/uploads/2016/05/Changu_Narayan_Temple.jpg
10,Bhaktapu,Nagarkot,19,https://www.holidify.com/images/bgImages/NAGARKOT.jpg
11,Kathmandu,Bhoudanath Stupa,20,https://lp-cms-production.imgix.net/2019-06/813869da84003e9ab623499ae2465723-bodhnath-stupa.jpg?auto=format&q=40&ar=16%3A9&fit=crop&crop=center&fm=auto&w=1446
12,Pokhara,Fewa Lake,22,https://www.landnepal.com/wp-content/uploads/2021/07/PhewaLake-768x353.jpg
13,Pokhara,Ghandruk,21,https://tibetanencounter.com/wp-content/uploads/2017/10/ghandruk-trek1.jpg
14,Pokhara,Sarangkot,23,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d6/96/35/photo3jpg.jpg?w=1200&h=1200&s=1
15,Pokhara,poonhill,24,https://www.himalayanzonetreks.com/wp-content/themes/himalayanzone/lib/timthumb.php?src=https://www.himalayanzonetreks.com/wp-content/uploads/2017/07/annapurna_via_poonhill.jpg&w=632&h=365
16,Kathmandu,Tribhuvan Park,32,https://www.nepal-travel-guide.com/wp-content/uploads/2020/05/image-132.png
17,Mustang,Muktinath,30,https://www.trekinnepal.com/public/images/upload/blog/muktinath-darshan-yatra86.jpg
18,Mustang,kagbeni,31,https://www.nepalsocialtreks.com/wp-content/uploads/2019/08/kagbeni-gateway-to-upper-mustang-trekking-in-annapurna-region13.jpg
19,Manang,Manang,33,https://basecampadventure.com/wp-content/uploads/2018/07/Manang-Trek-IV.jpg
20,Birjung, Chitwan National Park  ,40,https://visithimalayatreks.com/wp-content/uploads/2019/02/Chitwan-National-Park-Tour-1.jpg
21,Lumbini,Lumbini,47,https://c8.alamy.com/comp/JF6HR4/myanmar-temple-in-lumbini-nepal-birthplace-of-buddha-JF6HR4.jpg
22,janakpur,Janaki temple,50,https://www.holidify.com/images/cmsuploads/compressed/1024px-Janaki_Mandir-Janakpur_Nepal-7499_20181001161304_20181001161326.jpg
23,Annapurna,Annapurna region,28,https://www.thirdrockadventures.com/assets-back/images/blog/113-annapurna-base-camp-trek.jpggDI.jpg
24,Kathmandu,Nagarjung,9,https://snnp.gov.np/wp-content/uploads/2020/12/Pani-Muhan-Sector.jpg
25,Annapurna,Mardi,29,https://images.squarespace-cdn.com/content/v1/5522d488e4b05f384d080ecd/1524857326739-PGRHCVT55QWSCM2CK3XD/IMG_9623.jpg?format=1500w
26,Kathmandu,Dhulikhel,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a1/6c/59/photo0jpg.jpg?w=700&h=500&s=1
27,Kathmandu,Rani pokhari,8,https://www.landnepal.com/wp-content/uploads/2021/09/RaniPokhari.jpg
28,Pokhara,Begnas Lake,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6b/c9/b3/begnas-lake.jpg?w=1200&h=-1&s=1
29,Pokhara,Peace stupa,26,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/a6/0f.jpg
30,Pokhara,Shiva statue,27,https://www.vivaanadventure.com/wp-content/uploads/2021/06/Shiva-Statue-Pumdikot-2.jpg
31,Pokhara,International Mountain meusium,28,"https://static.toiimg.com/photo/msid-57788927,width-96,height-65.cms"
32,Pokhara,Bahari Temple,29,https://nepaltraveller.com/uploads/destination/a-lake-temple-tal-barahi.jpg
33,Birjung,She Gahawami,41,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/7a/0c/60/temple-premises-lit-up.jpg?w=1200&h=-1&s=1
34,Birjung,Sauhara Tharu cultral palce,42,https://lh3.googleusercontent.com/p/AF1QipO6Kji9IlAX1VoaBdbOSpAJkHJuF9cVDkrEynbO
35,Dolpa,Shey Phoksundo lake,60,https://myrepublica.nagariknetwork.com/uploads/media/2019/May/lake-shey-dolpa.jpg
36,Dolpa,Putha Hiuchli,61,https://www.datocms-assets.com/55179/1647374924-ascent-putha-hiunchuli-nepal.png
37,Dolpa,Shey Gompa,62,https://www.newgenerationtrek.com/uploads/post_gallery/upper-dolpo-shey-gompa-trek-21552556580.jpg
38,Dolpa,Upper Dolpo,63,https://www.mountainlayerstrek.com/wp-content/uploads/2019/09/upper-dolpo-jomsom-trek-1-Copy-990x490.jpg
30,Mustang,Upper Mustang,34,https://nepalecoadventure.com/wp-content/uploads/2019/09/14-days-Upper-Mustang-Trek-2.jpg
40,Mustang,Thorong la,35,https://aasraecotreks.com.np/wp-content/uploads/2018/09/thorong-la.jpg
41,Lumbini,Bardiya National park,48,https://tigerencounter.com/wp-content/uploads/2019/11/Bardia-National-Park-1536x768.jpg
42,Lumbini,Maya devi temple,49,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/65/06/f7/the-main-maya-devi-temple.jpg?w=1200&h=-1&s=1
43,Lukula,Everest treck,70,https://explorerspassage.com/wp-content/uploads/2021/12/everest-base-camp-trek-1-scaled.jpg
44,Kathmandu,Narayanhiti palace museum,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/08/23/e9/img-20160909-152705-largejpg.jpg?w=1200&h=-1&s=1
45,Kathmandu,Thamel,6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/78/aa/e2/this-photo-of-thamel.jpg?w=800&h=-1&s=1
46,Kathmandu,Newroad,5,http://bossnepal.com/wp-content/uploads/newroad.jpg
47,Kathmandu,Hanuman Dhoka,4,https://www.theclassicoutdoors.com/blog/wp-content/uploads/2017/04/Kathmandu_Darbar.jpg
48,Gorkha,Manakamana,66,https://content.sharesansar.com/photos/FEB12/NewFolder/NewFolder/NewFolder/NewFolder/Manakamana1.jpg
49,Gorkha,Gorkha Palace,67,https://www.forevernepal.com/uploads/images/202202/image_750x_61facb75a279b.jpg
50,Kathmandu,Chandagiri,3,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fe/99/8d.jpg
51,Dharan,Nameste fall,75,https://www.holidify.com/images/cmsuploads/compressed/3729403856_453b9454a0_k1_20191021152205_20191021152229.jpg
52,Dharan,Dharan city,76,https://nepaltrekking.com/wp-content/uploads/2019/04/99999-975x540.jpg
53,Ilam,Ilam tea garden,77,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2016/06/Tea-garden-in-Ilam.jpg
54,Ilam,Ilam view tower,78,https://www.summithotelillam.com/assets/img/news-details/illamviewtower2.jpg
55,jhapa,jhapa city,80,https://nepaltraveller.com/uploads/destination/damak.jpg
56,jhapa,funpark,81,http://happylandfunpark.com.np/wp-content/uploads/2020/12/IMG-20201205-WA0034-1024x682.jpg
57,Biratnagar,Biratnagra city,82,https://www.pigeontravels.com/wp-content/uploads/2018/11/biratnagar-gate-23062017082627-1000x0.jpg
58,Biratnagar,Koshi river,83,https://www.hlimg.com/images/things2do/738X538/Koshi_or_Kosi_River_Nepal_tributary_of_Ganges_River_in_Bihar_India_1516020100t.jpg
59,Biratnagar,Basantapur,84,"https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,h_600,q_auto,w_auto/v1/filestore/nyupgedz0hc87zqm7sbaqsocys2b_8528433975_afe366c975_b.jpg"
60,Kathmandu,Trishuli river,2,https://thehimalayantimes.com/uploads/imported_images/wp-content/uploads/2016/03/Rafting-in-Trishuli-River.jpg
